Station Name,NaPTAN ID,Hub NaPTAN,Lines
Great Portland Street,['940GZZLUGPS'],['N/A'],"['Metropolitan', 'Circle', 'Hammersmith & City']"
Green Park,['940GZZLUGPK'],['N/A'],"['Jubilee', 'Piccadilly', 'Victoria']"
Greenford,['940GZZLUGFD'],['HUBGFD'],['Central']
Greenwich,['940GZZDLGRE'],['HUBGNW'],['DLR']
Gunnersbury,"['940GZZLUGBY', '910GGNRSBRY']",['HUBGUN'],"['District', 'London Overground']"
Hackney Central,['910GHACKNYC'],['N/A'],['London Overground']
Hackney Downs,['910GHAKNYNM'],['N/A'],['London Overground']
Hackney Wick,['910GHACKNYW'],['N/A'],['London Overground']
Haggerston,['910GHAGGERS'],['N/A'],['London Overground']
Hainault,['940GZZLUHLT'],['N/A'],['Central']
Hammersmith,"['940GZZLUHSC', '940GZZLUHSD']",['HUBHMS'],"['District', 'Piccadilly', 'Circle', 'Hammersmith & City']"
Hampstead,['940GZZLUHTD'],['N/A'],['Northern']
Hampstead Heath,['910GHMPSTDH'],['N/A'],['London Overground']
Hanger Lane,['940GZZLUHGR'],['N/A'],['Central']
Hanwell,['910GHANWELL'],['N/A'],['Elizabeth line']
Harlesden,"['940GZZLUHSN', '910GHARLSDN']",['HUBHDN'],"['London Overground', 'Bakerloo']"
Harold Wood,['910GHRLDWOD'],['N/A'],['Elizabeth line']
Harringay Green Lanes,['910GHRGYGL'],['N/A'],['London Overground']
Harrington Road,['940GZZCRHAR'],['N/A'],['Tram']
Harrow & Wealdstone,"['940GZZLUHAW', '910GHROW']",['HUBHRW'],"['London Overground', 'Bakerloo']"
Harrow-on-the-Hill,['940GZZLUHOH'],['HUBHOH'],['Metropolitan']
Hatch End,['910GHTCHEND'],['N/A'],['London Overground']
Hatton Cross,['940GZZLUHNX'],['N/A'],['Piccadilly']
Hayes & Harlington,['910GHAYESAH'],['N/A'],['Elizabeth line']
Headstone Lane,['910GHEDSTNL'],['N/A'],['London Overground']
Heathrow Terminal 4,"['940GZZLUHR4', '910GHTRWTM4']",['HUBHX4'],"['Piccadilly', 'Elizabeth line']"
Heathrow Terminal 5,"['940GZZLUHR5', '910GHTRWTM5']",['HUBHX5'],"['Piccadilly', 'Elizabeth line']"
Heathrow Terminals 2 & 3,"['940GZZLUHRC', '910GHTRWAPT']",['HUBH13'],"['Piccadilly', 'Elizabeth line']"
Hendon Central,['940GZZLUHCL'],['N/A'],['Northern']
Heron Quays,['940GZZDLHEQ'],['N/A'],['DLR']
High Barnet,['940GZZLUHBT'],['N/A'],['Northern']
High Street Kensington,['940GZZLUHSK'],['N/A'],"['District', 'Circle']"
Highams Park,['910GHGHMSPK'],['N/A'],['London Overground']
Highbury & Islington,"['940GZZLUHAI', '910GHGHI']",['HUBHHY'],"['Victoria', 'London Overground']"
Highgate,['940GZZLUHGT'],['N/A'],['Northern']
Hillingdon,['940GZZLUHGD'],['N/A'],"['Piccadilly', 'Metropolitan']"
Holborn,['940GZZLUHBN'],['N/A'],"['Piccadilly', 'Central']"
Holland Park,['940GZZLUHPK'],['N/A'],['Central']
Holloway Road,['940GZZLUHWY'],['N/A'],['Piccadilly']
Homerton,['910GHOMRTON'],['N/A'],['London Overground']
Honor Oak Park,['910GHONROPK'],['N/A'],['London Overground']
Hornchurch,['940GZZLUHCH'],['N/A'],['District']
Hounslow Central,['940GZZLUHWC'],['N/A'],['Piccadilly']
Hounslow East,['940GZZLUHWE'],['N/A'],['Piccadilly']
Hounslow West,['940GZZLUHWT'],['N/A'],['Piccadilly']
Hoxton,['910GHOXTON'],['N/A'],['London Overground']
Hyde Park Corner,['940GZZLUHPC'],['N/A'],['Piccadilly']
Ickenham,['940GZZLUICK'],['N/A'],"['Piccadilly', 'Metropolitan']"
Ilford,['910GILFORD'],['N/A'],['Elizabeth line']
Imperial Wharf,['910GCSEAH'],['HUBIMP'],['London Overground']
Island Gardens,['940GZZDLISL'],['N/A'],['DLR']
Iver,['910GIVER'],['N/A'],['Elizabeth line']
Kennington,['940GZZLUKNG'],['N/A'],['Northern']
Kensal Green,"['940GZZLUKSL', '910GKENSLG']",['HUBKNL'],"['London Overground', 'Bakerloo']"
Kensal Rise,['910GKENR'],['N/A'],['London Overground']
Kensington (Olympia),"['940GZZLUKOY', '910GKENOLYM']",['HUBKPA'],"['District', 'London Overground']"
Kentish Town,['940GZZLUKSH'],['HUBKTN'],['Northern']
Kentish Town West,['910GKNTSHTW'],['N/A'],['London Overground']
Kenton,"['940GZZLUKEN', '910GKTON']",['HUBKNT'],"['London Overground', 'Bakerloo']"
Kew Gardens,"['940GZZLUKWG', '910GKEWGRDN']",['HUBKWG'],"['District', 'London Overground']"
Kilburn,['940GZZLUKBN'],['N/A'],['Jubilee']
Kilburn High Road,['910GKLBRNHR'],['N/A'],['London Overground']
Kilburn Park,['940GZZLUKPK'],['N/A'],['Bakerloo']
King George V,['940GZZDLKGV'],['N/A'],['DLR']
King Henry's Drive,['940GZZCRKGH'],['N/A'],['Tram']
King's Cross St.Pancras,['940GZZLUKSX'],['HUBKGX'],"['Metropolitan', 'Northern', 'Piccadilly', 'Hammersmith & City', 'Circle', 'Victoria']"
Kingsbury,['940GZZLUKBY'],['N/A'],['Jubilee']
Knightsbridge,['940GZZLUKNB'],['N/A'],['Piccadilly']
Ladbroke Grove,['940GZZLULAD'],['N/A'],"['Circle', 'Hammersmith & City']"
Lambeth North,['940GZZLULBN'],['N/A'],['Bakerloo']
Lancaster Gate,['940GZZLULGT'],['N/A'],['Central']
Langdon Park,['940GZZDLLDP'],['N/A'],['DLR']
Langley (Berks),['910GLANGLEY'],['N/A'],['Elizabeth line']
Latimer Road,['940GZZLULRD'],['N/A'],"['Circle', 'Hammersmith & City']"
Lebanon Road,['940GZZCRLEB'],['N/A'],['Tram']
Leicester Square,['940GZZLULSQ'],['N/A'],"['Northern', 'Piccadilly']"
Lewisham,['940GZZDLLEW'],['HUBLEW'],['DLR']
Leyton,['940GZZLULYN'],['N/A'],['Central']
Leyton Midland Road,['910GLEYTNMR'],['N/A'],['London Overground']
Leytonstone,['940GZZLULYS'],['N/A'],['Central']
Leytonstone High Road,['910GLYTNSHR'],['N/A'],['London Overground']
Limehouse,['940GZZDLLIM'],['HUBLHS'],['DLR']
Liverpool Street,"['940GZZLULVT', '910GLIVST', '910GLIVSTLL']",['HUBLST'],"['Metropolitan', 'London Overground', 'Elizabeth line', 'Hammersmith & City', 'Central', 'Circle']"
Lloyd Park,['940GZZCRLOY'],['N/A'],['Tram']
London Bridge,['940GZZLULNB'],['HUBLBG'],"['Jubilee', 'Northern']"
London City Airport,['940GZZDLLCA'],['HUBLCY'],['DLR']
London Euston,['910GEUSTON'],['HUBEUS'],"['Northern', 'Victoria', 'London Overground']"
London Fields,['910GLONFLDS'],['N/A'],['London Overground']
Loughton,['940GZZLULGN'],['N/A'],['Central']
Maida Vale,['940GZZLUMVL'],['N/A'],['Bakerloo']
Maidenhead,['910GMDNHEAD'],['N/A'],['Elizabeth line']
Manor House,['940GZZLUMRH'],['N/A'],['Piccadilly']
Manor Park,['910GMANRPK'],['N/A'],['Elizabeth line']
Mansion House,['940GZZLUMSH'],['N/A'],"['District', 'Circle']"
Marble Arch,['940GZZLUMBA'],['N/A'],['Central']
Maryland,['910GMRYLAND'],['N/A'],['Elizabeth line']
Marylebone,['940GZZLUMYB'],['HUBMYB'],['Bakerloo']
Merton Park,['940GZZCRMTP'],['N/A'],['Tram']
Mile End,['940GZZLUMED'],['N/A'],"['District', 'Central', 'Hammersmith & City']"
Mill Hill East,['940GZZLUMHL'],['N/A'],['Northern']
Mitcham,['940GZZCRMCH'],['N/A'],['Tram']
Mitcham Junction,['940GZZCRMJT'],['HUBMJT'],['Tram']
Monument,['940GZZLUMMT'],['N/A'],"['District', 'Circle']"
Moor Park,['940GZZLUMPK'],['N/A'],['Metropolitan']
Moorgate,['940GZZLUMGT'],['HUBZMG'],"['Northern', 'Metropolitan', 'Circle', 'Hammersmith & City']"
Morden,['940GZZLUMDN'],['N/A'],['Northern']
Morden Road,['940GZZCRMDN'],['N/A'],['Tram']
Mornington Crescent,['940GZZLUMTC'],['N/A'],['Northern']
Mudchute,['940GZZDLMUD'],['N/A'],['DLR']
Neasden,['940GZZLUNDN'],['N/A'],['Jubilee']
New Addington,['940GZZCRNWA'],['N/A'],['Tram']
New Cross,['910GNWCRELL'],['HUBNWX'],['London Overground']
New Cross Gate,['910GNEWXGTE'],['HUBNXG'],['London Overground']
Newbury Park,['940GZZLUNBP'],['N/A'],['Central']
Nine Elms,['940GZZNEUGST'],['N/A'],['Northern']
North Acton,['940GZZLUNAN'],['N/A'],['Central']
North Ealing,['940GZZLUNEN'],['N/A'],['Piccadilly']
North Greenwich,['940GZZLUNGW'],['HUBNGW'],['Jubilee']
North Harrow,['940GZZLUNHA'],['N/A'],['Metropolitan']
North Wembley,"['940GZZLUNWY', '910GNWEMBLY']",['HUBNWB'],"['London Overground', 'Bakerloo']"
Northfields,['940GZZLUNFD'],['N/A'],['Piccadilly']
Northolt,['940GZZLUNHT'],['N/A'],['Central']
Northwick Park,['940GZZLUNKP'],['N/A'],['Metropolitan']
Northwood,['940GZZLUNOW'],['N/A'],['Metropolitan']
Northwood Hills,['940GZZLUNWH'],['N/A'],['Metropolitan']
Norwood Junction,['910GNORWDJ'],['HUBNWD'],['London Overground']
Notting Hill Gate,['940GZZLUNHG'],['N/A'],"['District', 'Central', 'Circle']"
Oakwood,['940GZZLUOAK'],['N/A'],['Piccadilly']
Old Street,['940GZZLUODS'],['HUBOLD'],['Northern']
Osterley,['940GZZLUOSY'],['N/A'],['Piccadilly']
Oval,['940GZZLUOVL'],['N/A'],['Northern']
Oxford Circus,['940GZZLUOXC'],['N/A'],"['Central', 'Victoria', 'Bakerloo']"
Paddington,"['940GZZLUPAC', '940GZZLUPAH', '910GPADTLL', '910GPADTON']",['HUBPAD'],"['Elizabeth line', 'Hammersmith & City', 'District', 'Circle', 'Bakerloo']"
Park Royal,['940GZZLUPKR'],['N/A'],['Piccadilly']
Parsons Green,['940GZZLUPSG'],['N/A'],['District']
Peckham Rye,['910GPCKHMRY'],['N/A'],['London Overground']
Penge West,['910GPENEW'],['N/A'],['London Overground']
Perivale,['940GZZLUPVL'],['N/A'],['Central']
Phipps Bridge,['940GZZCRPHI'],['N/A'],['Tram']
Piccadilly Circus,['940GZZLUPCC'],['N/A'],"['Piccadilly', 'Bakerloo']"
Pimlico,['940GZZLUPCO'],['N/A'],['Victoria']
Pinner,['940GZZLUPNR'],['N/A'],['Metropolitan']
Plaistow,['940GZZLUPLW'],['N/A'],"['District', 'Hammersmith & City']"
Pontoon Dock,['940GZZDLPDK'],['N/A'],['DLR']
Poplar,['940GZZDLPOP'],['N/A'],['DLR']
Preston Road,['940GZZLUPRD'],['N/A'],['Metropolitan']
Prince Regent,['940GZZDLPRE'],['N/A'],['DLR']
Pudding Mill Lane,['940GZZDLPUD'],['N/A'],['DLR']
Putney Bridge,['940GZZLUPYB'],['N/A'],['District']
Queen's Park,"['940GZZLUQPS', '910GQPRK']",['HUBQPW'],"['London Overground', 'Bakerloo']"
Queens Road Peckham,['910GPCKHMQD'],['N/A'],['London Overground']
Queensbury,['940GZZLUQBY'],['N/A'],['Jubilee']
Queensway,['940GZZLUQWY'],['N/A'],['Central']
Ravenscourt Park,['940GZZLURVP'],['N/A'],['District']
Rayners Lane,['940GZZLURYL'],['N/A'],"['Piccadilly', 'Metropolitan']"
Reading,['910GRDNGSTN'],['N/A'],['Elizabeth line']
Rectory Road,['910GRCTRYRD'],['N/A'],['London Overground']
Redbridge,['940GZZLURBG'],['N/A'],['Central']
Reeves Corner,['940GZZCRRVC'],['N/A'],['Tram']
Regent's Park,['940GZZLURGP'],['N/A'],['Bakerloo']
Richmond,"['940GZZLURMD', '910GRICHMND']",['HUBRMD'],"['District', 'London Overground']"
Rickmansworth,['940GZZLURKW'],['HUBRIC'],['Metropolitan']
Roding Valley,['940GZZLURVY'],['N/A'],['Central']
Romford,['910GROMFORD'],['N/A'],"['Elizabeth line', 'London Overground']"
Rotherhithe,['910GRTHERHI'],['N/A'],['London Overground']
Royal Albert Dlr,['940GZZDLRAL'],['N/A'],['DLR']
Royal Oak,['940GZZLURYO'],['N/A'],"['Circle', 'Hammersmith & City']"
Royal Victoria,['940GZZDLRVC'],['HUBRVC'],['DLR']
Ruislip,['940GZZLURSP'],['N/A'],"['Piccadilly', 'Metropolitan']"
Ruislip Gardens,['940GZZLURSG'],['N/A'],['Central']
Ruislip Manor,['940GZZLURSM'],['N/A'],"['Piccadilly', 'Metropolitan']"
Russell Square,['940GZZLURSQ'],['N/A'],['Piccadilly']
Sandilands,['940GZZCRSAN'],['N/A'],['Tram']
Seven Kings,['910GSVNKNGS'],['N/A'],['Elizabeth line']
Seven Sisters,"['940GZZLUSVS', '910GSEVNSIS']",['HUBSVS'],"['Victoria', 'London Overground']"
Shadwell,"['910GSHADWEL', '940GZZDLSHA']",['HUBSDE'],"['DLR', 'London Overground']"
Shenfield,['910GSHENFLD'],['N/A'],['Elizabeth line']
Shepherd's Bush,"['940GZZLUSBC', '910GSHPDSB']",['HUBSPB'],"['Central', 'London Overground']"
Shepherd's Bush Market,['940GZZLUSBM'],['N/A'],"['Circle', 'Hammersmith & City']"
Shoreditch High Street,['910GSHRDHST'],['N/A'],['London Overground']
Silver Street,['910GSIVRST'],['N/A'],['London Overground']
Sloane Square,['940GZZLUSSQ'],['N/A'],"['District', 'Circle']"
Slough,['910GSLOUGH'],['N/A'],['Elizabeth line']
Snaresbrook,['940GZZLUSNB'],['N/A'],['Central']
South Acton,['910GSACTON'],['N/A'],['London Overground']
South Ealing,['940GZZLUSEA'],['N/A'],['Piccadilly']
South Hampstead,['910GSHMPSTD'],['N/A'],['London Overground']
South Harrow,['940GZZLUSHH'],['N/A'],['Piccadilly']
South Kensington,['940GZZLUSKS'],['N/A'],"['District', 'Piccadilly', 'Circle']"
South Kenton,"['940GZZLUSKT', '910GSKENTON']",['HUBSOK'],"['London Overground', 'Bakerloo']"
South Quay,['940GZZDLSOQ'],['N/A'],['DLR']
South Ruislip,['940GZZLUSRP'],['HUBSRU'],['Central']
South Tottenham,['910GSTOTNHM'],['N/A'],['London Overground']
South Wimbledon,['940GZZLUSWN'],['N/A'],['Northern']
South Woodford,['940GZZLUSWF'],['N/A'],['Central']
Southall,['910GSTHALL'],['N/A'],['Elizabeth line']
Southbury,['910GSBURY'],['N/A'],['London Overground']
Southfields,['940GZZLUSFS'],['N/A'],['District']
Southgate,['940GZZLUSGT'],['N/A'],['Piccadilly']
Southwark,['940GZZLUSWK'],['N/A'],['Jubilee']
St James Street (London),['910GSTJMSST'],['N/A'],['London Overground']
St John's Wood,['940GZZLUSJW'],['N/A'],['Jubilee']
St. James's Park,['940GZZLUSJP'],['N/A'],"['District', 'Circle']"
St. Paul's,['940GZZLUSPU'],['N/A'],['Central']
Stamford Brook,['940GZZLUSFB'],['N/A'],['District']
Stamford Hill,['910GSTMFDHL'],['N/A'],['London Overground']
Stanmore,['940GZZLUSTM'],['N/A'],['Jubilee']
Star Lane,['940GZZDLSTL'],['N/A'],['DLR']
Stepney Green,['940GZZLUSGN'],['N/A'],"['District', 'Hammersmith & City']"
Stockwell,['940GZZLUSKW'],['N/A'],"['Northern', 'Victoria']"
Stoke Newington,['910GSTKNWNG'],['N/A'],['London Overground']
Stonebridge Park,"['940GZZLUSGP', '910GSTNBGPK']",['HUBSBP'],"['London Overground', 'Bakerloo']"
Stratford,"['940GZZLUSTD', '910GSTFD', '940GZZDLSTD']",['HUBSRA'],"['London Overground', 'Elizabeth line', 'DLR', 'Jubilee', 'Central']"
Stratford High Street,['940GZZDLSHS'],['N/A'],['DLR']
Stratford International,['940GZZDLSIT'],['N/A'],['DLR']
Sudbury Hill,['940GZZLUSUH'],['N/A'],['Piccadilly']
Sudbury Town,['940GZZLUSUT'],['N/A'],['Piccadilly']
Surrey Quays,['910GSURREYQ'],['N/A'],['London Overground']
Swiss Cottage,['940GZZLUSWC'],['N/A'],['Jubilee']
